"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL",product_group_id,product_group_name,category_id,category_name,subcategory_id,subcategory_name,part_type_id,part_type_name,subpart_id,suppart_name,short_description,long_description,turn_off_subcategories_products,category_image
93,http://transamericanautoparts.local/category/door-surround-moulding/,"Door Surround Moulding",door-surround-moulding,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-12306,,,,,,,,,
94,http://transamericanautoparts.local/category/door-lock-kit/,"Door Lock Kit",door-lock-kit,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-1028,,,,,,,,,
95,http://transamericanautoparts.local/category/door-strap/,"Door Strap",door-strap,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-13655,,,,,,,,,
96,http://transamericanautoparts.local/category/interior-door-handle/,"Interior Door Handle",interior-door-handle,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-13115,,,,,,,,,
97,http://transamericanautoparts.local/category/upper-door-skin-and-frames/,"Upper Door Skin and Frames",upper-door-skin-and-frames,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130164,,,,,,,,,
98,http://transamericanautoparts.local/category/door-pull-handle/,"Door Pull Handle",door-pull-handle,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-13582,,,,,,,,,
99,http://transamericanautoparts.local/category/door-moulding-retainer/,"Door Moulding Retainer",door-moulding-retainer,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-13897,,,,,,,,,
100,http://transamericanautoparts.local/category/door-window-regulator/,"Door Window Regulator",door-window-regulator,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-10217,,,,,,,,,
101,http://transamericanautoparts.local/category/windshield-seal/,"Windshield Seal",windshield-seal,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-11438,,,,,,,,,
102,http://transamericanautoparts.local/category/door-window-glass/,"Door Window Glass",door-window-glass,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130158,,,,,,,,,
