Term Name,Parent Name,Parent Slug,Count,Image URL,Image Filename,Image Path,Image ID,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,category_id,_category_id,Product Group ID,Product Group Name,Category Name,Subcategory ID,Subcategory Name,Part Type ID,Part Type Name,SubPart ID,SupPart Name,Short Description (Top),Long Description (Bottom)
Auxiliary Lighting,Lighting & Lighting Accessories,,,,,,,,,,,,4wp-us-C14,,,,Lighting & Lighting Accessories,4wp-us-SC450,,,,,,,
Work Lamps,Lighting & Lighting Accessories,,,,,,,,,,,,4wp-us-C14,,,,Lighting & Lighting Accessories,4wp-us-SC449,,,,,,,
"Replacement Headlights, Tail Lights & Bulbs",Lighting & Lighting Accessories,,,,,,,,,,,,4wp-us-C14,,,,Lighting & Lighting Accessories,4wp-us-SC67,,,,,,,
Camping Gear,Overlanding & Camping,,,,,,,,,,,,4wp-us-C88,,,,Overlanding & Camping,cat1110026,,,,,,,
Backpacks & Storage Bags,Overlanding & Camping,,,,,,,,,,,,4wp-us-C88,,,,Overlanding & Camping,4wp-us-49077,,,,,,,
Tents and Awnings,Overlanding & Camping,,,,,,,,,,,,4wp-us-C88,,,,Overlanding & Camping,4wp-us-SC565,,,,,,,
Camping Trailers,Overlanding & Camping,,,,,,,,,,,,4wp-us-C88,,,,Overlanding & Camping,cat1130118,,,,,,,
Electrical,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-C72,,,,,,,
Engine Mounts,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC551,,,,,,,
"Fittings, Lines & Hardware",Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC537,,,,,,,
Gauges,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC54,,,,,,,
"Exhaust Systems, Headers, Pipes and Hardware",Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC49,,,,,,,
